# 过滤后保留的可回测指数（共 727 个：行业 212 + 主题 515）
# 过滤规则: 6条(见 spec §2.2)，规则3含 name 币种过滤
# 格式: ts_code | name | category | list_date

    932071.CSI  |  SSH煤炭  |  主题指数  |  20121221
    932358.CSI  |  SSH芯片产业  |  主题指数  |  20250117
    931257.CSI  |  SSH贵金属  |  主题指数  |  20161107
    932026.CSI  |  SSH高端造  |  主题指数  |  20230313
    931867.CSI  |  SSH高装  |  主题指数  |  20220718
    931238.CSI  |  SSH黄金股票  |  主题指数  |  20171017
    899302.CSI  |  三板制造  |  主题指数  |  20190114
    899304.CSI  |  三板医药  |  主题指数  |  20190114
    899303.CSI  |  三板服务  |  主题指数  |  20190114
    899307.CSI  |  三板活跃  |  主题指数  |  20190422
    899305.CSI  |  三板消费  |  主题指数  |  20190422
    899306.CSI  |  三板研发  |  主题指数  |  20190422
    899301.CSI  |  三板龙头  |  主题指数  |  20190114
    H50052.CSI  |  上国改革  |  主题指数  |  20141028
    950096.CSI  |  上海国企  |  主题指数  |  20160511
    950082.CSI  |  上海改革  |  主题指数  |  20150803
    932440.CSI  |  上海现代产业  |  主题指数  |  20250124
    932157.CSI  |  上海科技领先  |  主题指数  |  20250421
    932357.CSI  |  专精特新100  |  主题指数  |  20250721
    930981.CSI  |  东北指数  |  主题指数  |  20170614
    H30006.CSI  |  东北振兴  |  主题指数  |  20120927
    932595.CSI  |  东盟数字经济  |  主题指数  |  20251226
    H11136.CSI  |  中国互联网  |  主题指数  |  20110920
    931120.CSI  |  中国互联网1040  |  主题指数  |  20180928
    931122.CSI  |  中国互联网1040EUR  |  主题指数  |  20180928
    930604.CSI  |  中国互联网30  |  主题指数  |  20150323
    H30533.CSI  |  中国互联网50  |  主题指数  |  20141229
H11136GBP13.CSI  |  中国互联网GBP(CNH)(LN)  |  主题指数  |  20110920
    H11160.CSI  |  中国五年规划  |  主题指数  |  20120423
    H11113.CSI  |  中国低碳  |  主题指数  |  20110216
    H11162.CSI  |  中国城市化  |  主题指数  |  20120423
    931456.CSI  |  中国教育  |  主题指数  |  20200421
    H30131.CSI  |  中国消费  |  主题指数  |  20130605
    950080.CSI  |  中小企改  |  主题指数  |  20150803
    930611.CSI  |  中小国改  |  主题指数  |  20150407
    930794.CSI  |  中美互联网  |  主题指数  |  20160422
    H30004.CSI  |  中部崛起  |  主题指数  |  20120927
    931598.CSI  |  中银证券300ESG  |  主题指数  |  20210305
    931790.CSI  |  中韩半导体  |  主题指数  |  20211220
    931789.CSI  |  中韩新能车  |  主题指数  |  20211220
    931131.CSI  |  乡村振兴  |  主题指数  |  20170614
    930851.CSI  |  云计算  |  主题指数  |  20160720
    931469.CSI  |  云计算50  |  主题指数  |  20200612
    931260.CSI  |  互联互通A股投资  |  主题指数  |  20191118
    H30535.CSI  |  互联网  |  主题指数  |  20150112
    931451.CSI  |  五矿金属矿业  |  主题指数  |  20240628
    931228.CSI  |  亚洲新兴市场科技  |  主题指数  |  20240102
    931374.CSI  |  交银理财长三角  |  主题指数  |  20191022
    932360.CSI  |  产业竞争优势  |  主题指数  |  20241107
    931071.CSI  |  人工智能  |  主题指数  |  20181121
    931526.CSI  |  企业核心竞争力50  |  主题指数  |  20200824
    931357.CSI  |  优选消费50  |  主题指数  |  20191115
    932073.CSI  |  佛山制造  |  主题指数  |  20231211
    931735.CSI  |  信银ESG优选  |  主题指数  |  20210819
    H30344.CSI  |  健康产业  |  主题指数  |  20140606
    931746.CSI  |  储能产业  |  主题指数  |  20150611
    932246.CSI  |  储能电池  |  主题指数  |  20220708
    931151.CSI  |  光伏产业  |  主题指数  |  20190422
    931798.CSI  |  光伏龙头30  |  主题指数  |  20090616
    931723.CSI  |  光通信  |  主题指数  |  20231031
    931513.CSI  |  公共卫生  |  主题指数  |  20200707
    931525.CSI  |  兴业证券ESG盈利100  |  主题指数  |  20200806
    000817.CSI  |  兴证海西  |  主题指数  |  20110927
    931551.CSI  |  内地企业ERC  |  主题指数  |  20161228
    000977.CSI  |  内地低碳  |  主题指数  |  20110121
    H11153.CSI  |  内地国有  |  主题指数  |  20100730
    000948.CSI  |  内地地产  |  主题指数  |  20091028
    H11152.CSI  |  内地民营  |  主题指数  |  20100730
    000942.CSI  |  内地消费  |  主题指数  |  20091028
    000944.CSI  |  内地资源  |  主题指数  |  20091028
    000945.CSI  |  内地运输  |  主题指数  |  20091028
    000947.CSI  |  内地银行  |  主题指数  |  20091028
    930617.CSI  |  军工信息  |  主题指数  |  20150416
    931066.CSI  |  军工龙头  |  主题指数  |  20180205
    931778.CSI  |  农牧主题  |  主题指数  |  20170721
    931225.CSI  |  农银乡村振兴  |  主题指数  |  20230619
    931063.CSI  |  创始经营  |  主题指数  |  20180122
    931159.CSI  |  创新100  |  主题指数  |  20190516
    931440.CSI  |  创新药30  |  主题指数  |  20200421
    931639.CSI  |  创新药优势成长50  |  主题指数  |  20210219
    930883.CSI  |  创新驱动  |  主题指数  |  20161019
