策略,交易笔数,胜率,总收益,收益范围,收益σ,最大回撤,平均持仓,盈亏比
MA60_突破拉回,49.7,28.5%,+10.07%,+2.3~+20.1%,±5.8%,10.58%,10.9天,3.81
MA60_突破拉回止损_3,49.8,26.0%,+11.78%,+3.2~+20.7%,±5.7%,9.49%,11.0天,4.76
MA60_突破拉回止损_8,49.6,29.0%,+10.83%,+2.1~+21.2%,±5.8%,9.66%,10.9天,3.85
MA60_突破拉回ATR,49.6,27.8%,+10.34%,+0.2~+20.1%,±6.1%,10.23%,11.0天,3.98
