# 被过滤掉的主题/行业指数变体（共 2689 个）
# 全收益/币种/规模口径/企业属性/港股/三板/策略变体，回测会污染对比

    H20845.CSI  |  CS供给侧全收益  |  主题指数
931152USD210.CSI  |  CS创新药(全)USD  |  主题指数
931152USD220.CSI  |  CS创新药(净)USD  |  主题指数
931152USD200.CSI  |  CS创新药USD  |  主题指数
    H21152.CSI  |  CS创新药全收益  |  主题指数
    921383.CSI  |  CS医药50全收益  |  主题指数
    H20791.CSI  |  CS医药TI全收益  |  主题指数
    921484.CSI  |  CS医药创新全收益  |  主题指数
    921355.CSI  |  CS周期全收益  |  主题指数
    H20634.CSI  |  CS土改农全收益  |  主题指数
    H20790.CSI  |  CS娱乐TI全收益  |  主题指数
931665CNY01.CSI  |  CS常州全收益  |  主题指数
    H20704.CSI  |  CS广东全收益  |  主题指数
    H20763.CSI  |  CS房天下全收益  |  主题指数
    H20771.CSI  |  CS新能源全收益  |  主题指数
    H20635.CSI  |  CS智慧农全收益  |  主题指数
    H20721.CSI  |  CS智汽车全收益  |  主题指数
    H20648.CSI  |  CS智消费全收益  |  主题指数
    H20711.CSI  |  CS智穿戴全收益  |  主题指数
    H20715.CSI  |  CS朝阳88全收益  |  主题指数
931720CNY01.CSI  |  CS武进(全)  |  主题指数
931720HKD01.CSI  |  CS武进(全)HKD  |  主题指数
931720USD01.CSI  |  CS武进(全)USD  |  主题指数
931720HKD00.CSI  |  CS武进HKD  |  主题指数
931720USD00.CSI  |  CS武进USD  |  主题指数
    H20698.CSI  |  CS水利全收益  |  主题指数
    H21139.CSI  |  CS消费50全收益  |  主题指数
    921354.CSI  |  CS消费全收益  |  主题指数
    H20716.CSI  |  CS物流全收益  |  主题指数
    H20712.CSI  |  CS物联网全收益  |  主题指数
    H20662.CSI  |  CS现代农全收益  |  主题指数
    930882.CSI  |  CS珠三角  |  主题指数
    H20882.CSI  |  CS珠三角全收益  |  主题指数
    H20726.CSI  |  CS生医全收益  |  主题指数
    H20652.CSI  |  CS电子全收益  |  主题指数
931719CNY01.CSI  |  CS电池全收益  |  主题指数
    921353.CSI  |  CS科技全收益  |  主题指数
    H20632.CSI  |  CS稀金属全收益  |  主题指数
    H20719.CSI  |  CS精准医全收益  |  主题指数
    H20727.CSI  |  CS自贸区全收益  |  主题指数
    H20741.CSI  |  CS航空全收益  |  主题指数
    H20213.CSI  |  CS航空航天全收益  |  主题指数
    H20718.CSI  |  CS航运全收益  |  主题指数
    H20783.CSI  |  CS英大EI全收益  |  主题指数
932452CNY010.CSI  |  CS西藏全收益  |  主题指数
    H20702.CSI  |  CS西部全收益  |  主题指数
    H20651.CSI  |  CS计算机全收益  |  主题指数
931237CNY010.CSI  |  CS贵金属全收益  |  主题指数
931237CNY020.CSI  |  CS贵金属净收益  |  主题指数
    H20725.CSI  |  CS车联网全收益  |  主题指数
    H20643.CSI  |  CS轻资产全收益  |  主题指数
    931141.CSI  |  CS长三角  |  主题指数
    H21141.CSI  |  CS长三角全收益  |  主题指数
    H20822.CSI  |  CS院校企全收益  |  主题指数
    H20653.CSI  |  CS食品饮全收益  |  主题指数
    H20820.CSI  |  CS高端制全收益  |  主题指数
    H20778.CSI  |  CS高端造全收益  |  主题指数
931750CNY01.CSI  |  CXO全收益  |  主题指数
    H00846.CSI  |  ESG100全收益  |  主题指数
    H00970.CSI  |  ESG40全收益  |  主题指数
    H21148.CSI  |  ESG80全收益  |  主题指数
    940049.CSI  |  G60成指全收益  |  主题指数
    940048.CSI  |  G60综指全收益  |  主题指数
    930912.CSI  |  GTJAINTL中国影视(人民币)  |  主题指数
    930913.CSI  |  GTJAINTL中国影视(港元)  |  主题指数
    H30102.CSI  |  H300下游  |  主题指数
    H20102.CSI  |  H300下游(全)  |  主题指数
    H20112.CSI  |  H300下游(全)CNY  |  主题指数
    H30112.CSI  |  H300下游CNY  |  主题指数
    H30101.CSI  |  H300中游  |  主题指数
    H20101.CSI  |  H300中游(全)  |  主题指数
    H20111.CSI  |  H300中游(全)CNY  |  主题指数
    H30111.CSI  |  H300中游CNY  |  主题指数
    H30329.CSI  |  H300休闲  |  主题指数
    H20329.CSI  |  H300休闲(全)  |  主题指数
    H20339.CSI  |  H300休闲(全)CNY  |  主题指数
    H30339.CSI  |  H300休闲CNY  |  主题指数
    H30103.CSI  |  H300周期  |  主题指数
    H20103.CSI  |  H300周期(全)  |  主题指数
    H20113.CSI  |  H300周期(全)CNY  |  主题指数
    H30113.CSI  |  H300周期CNY  |  主题指数
    H30327.CSI  |  H300基建  |  主题指数
    H20327.CSI  |  H300基建(全)  |  主题指数
    H20337.CSI  |  H300基建(全)CNY  |  主题指数
    H30337.CSI  |  H300基建CNY  |  主题指数
    H30109.CSI  |  H300消费  |  主题指数
    H20109.CSI  |  H300消费(全)  |  主题指数
    H20119.CSI  |  H300消费(全)CNY  |  主题指数
    H30119.CSI  |  H300消费CNY  |  主题指数
    H30328.CSI  |  H300物流  |  主题指数
    H20328.CSI  |  H300物流(全)  |  主题指数
    H20338.CSI  |  H300物流(全)CNY  |  主题指数
    H30338.CSI  |  H300物流CNY  |  主题指数
    H30107.CSI  |  H300现代服务  |  主题指数
    H20107.CSI  |  H300现代服务(全)  |  主题指数
    H20117.CSI  |  H300现代服务(全)CNY  |  主题指数
    H30117.CSI  |  H300现代服务CNY  |  主题指数
    H30325.CSI  |  H300运输  |  主题指数
    H20325.CSI  |  H300运输(全)  |  主题指数
    H20335.CSI  |  H300运输(全)CNY  |  主题指数
    H30335.CSI  |  H300运输CNY  |  主题指数
    H30324.CSI  |  H300银行  |  主题指数
    H20324.CSI  |  H300银行(全)  |  主题指数
    H20334.CSI  |  H300银行(全)CNY  |  主题指数
    H30334.CSI  |  H300银行CNY  |  主题指数
    H30104.CSI  |  H300非周期  |  主题指数
    H20104.CSI  |  H300非周期(全)  |  主题指数
    H20114.CSI  |  H300非周期(全)CNY  |  主题指数
    H30114.CSI  |  H300非周期CNY  |  主题指数
    H11144.CSI  |  HKT内地消费  |  主题指数
    H01149.CSI  |  HKT内地消费(全)CNY  |  主题指数
    H11149.CSI  |  HKT内地消费人民币  |  主题指数
    H01144.CSI  |  HKT内地消费全收益  |  主题指数
    H11145.CSI  |  HKT内地银行  |  主题指数
    H01150.CSI  |  HKT内地银行(全)CNY  |  主题指数
    H11150.CSI  |  HKT内地银行人民币  |  主题指数
    H01145.CSI  |  HKT内地银行全收益  |  主题指数
    H11142.CSI  |  HKT香港地产  |  主题指数
    H01147.CSI  |  HKT香港地产(全)CNY  |  主题指数
    H11147.CSI  |  HKT香港地产CNY  |  主题指数
    H01142.CSI  |  HKT香港地产全收益  |  主题指数
    H30330.CSI  |  HK细分龙头  |  主题指数
    H20330.CSI  |  HK细分龙头(全)  |  主题指数
    H20340.CSI  |  HK细分龙头(全)CNY  |  主题指数
    H30340.CSI  |  HK细分龙头CNY  |  主题指数
    H30331.CSI  |  HK行业龙头  |  主题指数
    H20331.CSI  |  HK行业龙头(全)  |  主题指数
    H20341.CSI  |  HK行业龙头(全)CNY  |  主题指数
    H30341.CSI  |  HK行业龙头CNY  |  主题指数
    930792.CSI  |  HK银行  |  主题指数
    H20792.CSI  |  HK银行(全)  |  主题指数
    H20793.CSI  |  HK银行(全)CNY  |  主题指数
    930793.CSI  |  HK银行CNY  |  主题指数
    H20983.CSI  |  MG200全收益  |  主题指数
    H21086.CSI  |  MG新经济(全)AUD  |  主题指数
    H20984.CSI  |  MG新经济全收益  |  主题指数
932666CNY010.CSI  |  PCB全收益  |  主题指数
931755CNY01.CSI  |  SEEE碳中和全收益  |  主题指数
932417CNY010.CSI  |  SEEE绿色转型全收益  |  主题指数
