策略,交易笔数,胜率,总收益,收益范围,收益σ,最大回撤,平均持仓,盈亏比
MA60_突破拉回,49.5,28.5%,+10.21%,+2.6~+20.1%,±5.1%,10.56%,10.9天,3.88
MA60_突破拉回止损_3,49.5,25.9%,+11.93%,+3.5~+20.7%,±5.2%,9.53%,11.1天,4.83
MA60_突破拉回止损_8,49.4,29.0%,+10.68%,+3.8~+20.3%,±4.8%,9.59%,11.0天,3.84
MA60_突破拉回ATR,49.1,27.6%,+10.78%,+2.2~+20.1%,±5.5%,10.25%,11.1天,4.15
MA60_突破拉回优化版,32.4,45.7%,+8.74%,-2.2~+28.1%,±8.4%,12.50%,21.2天,1.84
MA60_突破拉回优化版止损_3,39.6,32.3%,+5.75%,-5.4~+19.4%,±5.6%,11.92%,17.6天,2.71
MA60_突破拉回优化版止损_8,26.0,49.2%,+4.10%,-6.3~+9.3%,±4.3%,12.39%,24.6天,1.26
MA60_突破拉回优化版ATR,35.8,45.7%,+9.92%,-1.2~+25.0%,±8.2%,11.13%,19.7天,1.79
